firm_name,firm_website,challenge_name,markets,account_size,price,billing_type,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,activation_fee,max_payout,contracts,data_feed,platforms,leverage,refund_policy,country_restrictions,phases,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence,status
FundedNext,,1-Step 6K,cfd,6000,49.49,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,1,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundedNext,,1-Step 15K,cfd,15000,97.49,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,1,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundedNext,,1-Step 25K,cfd,25000,164.99,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,1,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundedNext,,1-Step 50K,cfd,50000,247.49,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,1,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundedNext,,2-Step 100K,cfd,100000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $100K at 467.49–549.99; $200K at 934.99–1099.99.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundedNext,,2-Step 200K,cfd,200000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $100K at 467.49–549.99; $200K at 934.99–1099.99.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundingPips,,2-Step Flex 5K,cfd,5000,25.6,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundingPips,,2-Step 10K,cfd,10000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $10K at 44–50.40; $25K at 107.20+; $50K at 228+.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundingPips,,2-Step 25K,cfd,25000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $10K at 44–50.40; $25K at 107.20+; $50K at 228+.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundingPips,,2-Step 50K,cfd,50000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $10K at 44–50.40; $25K at 107.20+; $50K at 228+.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundingPips,,2-Step 100K,cfd,100000,417.6,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $10K at 44–50.40; $25K at 107.20+; $50K at 228+.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
FundingPips,,1-Step 100K,cfd,100000,469.04,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,1,,,,,,,,,,,aggregator_unverified,needs_review,draft
The5ers,,2-Step 5K,cfd,5000,35.1,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
The5ers,,2-Step 10K,cfd,10000,70.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
The5ers,,2-Step 25K,cfd,25000,175.5,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
The5ers,,2-Step 50K,cfd,50000,278.1,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,,2,,,,,,,,,,,aggregator_unverified,needs_review,draft
